strain	database_strain	accession	date	authors
A/Taiwan/99/2006	A/TAIWAN/99/2006	EPI_ISL_17795	2006-02-12	
A/Ukraine/13/2006	A/UKRAINE/13/2006	EPI_ISL_17812	2006-03-20	
A/Wyoming/1/2006	A/WYOMING/1-NEW/2006	EPI_ISL_17823	2006-01-23	
A/Wyoming/0049/2005	A/Wyoming/WY-0049/2005	EPI_ISL_18160	2005-01-14	
A/Toulon/1244/2006	A/Toulon/1244/2006	EPI_ISL_20276	2006-12-06	
A/Taiwan/760/2007	A/Taiwan/760/2007	EPI_ISL_22363	2007-10-03	
A/Victoria/208/2009	A/Victoria/208/2009	EPI_ISL_33598	2009-06-02	Victorian_Infectious_Diseases_Reference_Laboratory
A/Victoria/210/2009	A/Victoria/210/2009	EPI_ISL_33814	2009-06-02	Victorian_Infectious_Diseases_Reference_Laboratory
A/Switzerland/1397477/2008	A/Switzerland/1397477/2008	EPI_ISL_61731	2008-12-26	Hopital_Cantonal_Universitaire_de_Geneves
A/Switzerland/1409281/2008	A/Switzerland/1409281/2008	EPI_ISL_61732	2008-12-31	Hopital_Cantonal_Universitaire_de_Geneves
A/Torino/14/2008	A/Torino/14/2008	EPI_ISL_61751	2008-12-12	Istituto_Superiore_di_Sanit?
A/Tanger/533/2009	A/Tanger/533/2009	EPI_ISL_61768	2008-12-20	Institut_National_d'Hygi?ne
A/Townsville/1/2003	A/TOWNSVILLE/1/2003	EPI_ISL_67296	2003-07-24	
A/Sweden/2/2009	A/Sweden/2/2009	EPI_ISL_68566	2009-09-01	Public_Health_Agency_of_Sweden
A/Stockholm/89/2009	A/Stockholm/89/2009	EPI_ISL_68567	2009-09-06	Public_Health_Agency_of_Sweden
A/Umea/4/2009	A/Umea/4/2009	EPI_ISL_68571	2009-09-02	Public_Health_Agency_of_Sweden
A/Sweden/3/2008	A/Sweden/3/2008	EPI_ISL_70653	2008-10-15	Public_Health_Agency_of_Sweden
A/Stockholm/26/2008	A/Stockholm/26/2008	EPI_ISL_70811	2008-11-12	Public_Health_Agency_of_Sweden
A/Stockholm/2/2010	A/Stockholm/2/2010	EPI_ISL_81391	2010-04-30	Public_Health_Agency_of_Sweden
A/Wisconsin/13/2010	A/Wisconsin/13/2010	EPI_ISL_86092	2010-10-23	Wisconsin_State_Laboratory_of_Hygiene
A/Uvurkhangai/3970/2010	A/Uvurkhangai/3970/2010	EPI_ISL_87878	2010-12-09	National_Center_for_Communicable_Diseases
A/Ulaanbaatar/3849/2010	A/Ulaanbaatar/3849/2010	EPI_ISL_87879	2010-12-06	National_Center_for_Communicable_Diseases
A/Uppsala/3/2011	A/Uppsala/3/2011	EPI_ISL_90058	2011-01-07	
A/Stockholm/18/2011	A/Stockholm/18/2011	EPI_ISL_90426	2011-02-21	
A/Trieste/25c/2007	A/Trieste/25/2007	EPI_ISL_98951	2007-01-01	National_Institute_for_Medical_Research
A/Stockholm/20/1991	A/Stockholm/20/1991	EPI_ISL_110951	1991-12-17	
A/Stockholm/8/1992	A/Stockholm/8/1992	EPI_ISL_110997	1992-03-02	
A/Victoria/33/1992	A/Victoria/33/1992	EPI_ISL_110998	1992-06-29	
A/Stockholm/20/1993	A/Stockholm/20/1993	EPI_ISL_111081	1993-11-03	
A/Victoria/75/1995	A/Victoria/75/1995	EPI_ISL_111220	1995-07-27	
A/Sydney/5/1997	A/Sydney/5/1997	EPI_ISL_111337	1997-01-01	
A/Texas/1/1977	A/Texas/1/1977	EPI_ISL_114197	1977-01-01	
A/Wellington/4/1985	A/Wellington/4/1985	EPI_ISL_114250	1985-01-01	
A/Stockholm/12/1988	A/Stockholm/12/1988	EPI_ISL_114298	1988-01-01	
A/Victoria/1/1989	A/Victoria/1/1989	EPI_ISL_114399	1989-01-01	
A/Wellington/5/1989	A/Wellington/5/1989	EPI_ISL_114400	1989-01-01	
A/Waikato/1/1989	A/Waikato/1/1989	EPI_ISL_114401	1989-01-01	
A/Victoria/2/1990	A/Victoria/2/1990	EPI_ISL_114456	1990-01-01	
A/Wellington/3/1990	A/Wellington/3/1990	EPI_ISL_114457	1990-01-01	
A/Stockholm/12/1992	A/Stockholm/12/1992	EPI_ISL_114868	1992-11-01	
A/Stockholm/7/1992	A/Stockholm/7/1992	EPI_ISL_114867	1992-02-14	
A/Stockholm/13/1992	A/Stockholm/13/1992	EPI_ISL_114869	1992-12-01	
A/Tilburg/5957/1992	A/Tilburg/5957/1992	EPI_ISL_114870	1991-12-04	
A/Umea/2000/1992	A/Umea/2000/1992	EPI_ISL_114872	1992-11-01	
A/Yamagata/56/1993	A/Yamagata/56/1993	EPI_ISL_115412	1993-01-01	
A/Yamagata/61/1993	A/Yamagata/61/1993	EPI_ISL_115413	1993-01-01	
A/Wisconsin/67/2005	A/Wisconsin/67/2005	EPI_ISL_115646	2005-01-01	
A/Victoria/1/1988	A/Victoria/1/1988	EPI_ISL_115700	1988-01-01	
A/Toulouse/878/2001	A/Toulouse/878/2001	EPI_ISL_121223	2001-04-25	Hospices_Civils_de_Lyon
A/Stockholm/1/2010	A/Stockholm/1/2010	EPI_ISL_81390	2010-04-29	National_Institute_for_Medical_Research
A/Auckland/6/2003	A/AUCKLAND/6/2003	EU501205	2003-06-16	Russell,C.A., Jones,T.C., Barr,I.G., Cox,N.J., Garten,R.J., Gregory,V., Gust,I.D., Hampson,A.W., Hay,A.J., Hurt,A.C., de Jong,J.C., Kelso,A., Klimov,A.I., Kageyama,T., Komadina,N., Lapedes,A.S., Lin,Y.P., Mosterin,A., Obuchi,M., Odagiri,T., Osterhaus,A.D., Rimmelzwaan,G.F., Shaw,M.W., Skepner,E., Stohr,K., Tashiro,M., Fouchier,R.A. and Smith,D.J.
A/Brisbane/5/2002	A/BRISBANE/5/2002	EU501129	2002-06-07	Russell,C.A., Jones,T.C., Barr,I.G., Cox,N.J., Garten,R.J., Gregory,V., Gust,I.D., Hampson,A.W., Hay,A.J., Hurt,A.C., de Jong,J.C., Kelso,A., Klimov,A.I., Kageyama,T., Komadina,N., Lapedes,A.S., Lin,Y.P., Mosterin,A., Obuchi,M., Odagiri,T., Osterhaus,A.D., Rimmelzwaan,G.F., Shaw,M.W., Skepner,E., Stohr,K., Tashiro,M., Fouchier,R.A. and Smith,D.J.
A/Brisbane/6/2002	A/BRISBANE/6/2002	EU501130	2002-06-20	Russell,C.A., Jones,T.C., Barr,I.G., Cox,N.J., Garten,R.J., Gregory,V., Gust,I.D., Hampson,A.W., Hay,A.J., Hurt,A.C., de Jong,J.C., Kelso,A., Klimov,A.I., Kageyama,T., Komadina,N., Lapedes,A.S., Lin,Y.P., Mosterin,A., Obuchi,M., Odagiri,T., Osterhaus,A.D., Rimmelzwaan,G.F., Shaw,M.W., Skepner,E., Stohr,K., Tashiro,M., Fouchier,R.A. and Smith,D.J.
A/Brisbane/7/2003	A/BRISBANE/7/2003	EU501209	2003-06-26	Russell,C.A., Jones,T.C., Barr,I.G., Cox,N.J., Garten,R.J., Gregory,V., Gust,I.D., Hampson,A.W., Hay,A.J., Hurt,A.C., de Jong,J.C., Kelso,A., Klimov,A.I., Kageyama,T., Komadina,N., Lapedes,A.S., Lin,Y.P., Mosterin,A., Obuchi,M., Odagiri,T., Osterhaus,A.D., Rimmelzwaan,G.F., Shaw,M.W., Skepner,E., Stohr,K., Tashiro,M., Fouchier,R.A. and Smith,D.J.
A/Brisbane/9/2006	A/BRISBANE/9/2006	CY121568	2006-XX-XX	Wentworth,D.E., Dugan,V., Halpin,R., Lin,X., Bera,J., Ghedin,E., Fedorova,N., Overton,L., Tsitrin,T., Stockwell,T., Amedeo,P., Bishop,B., Chen,H., Edworthy,P., Gupta,N., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Ramanunninair,M., Silverman,J., Devis,R., Phan,L., Le,J., Pokorny,B.A., Onodera,S., Fulvini,A.A., He,Y., Kilbourne,E.D., Bucher,D., Bao,Y., Sanders,R., Dernovoy,D., Kiryutin,B., Lipman,D.J. and Tatusova,T.
A/Bilthoven/16190/1968	A/Bilthoven/16190/1968	AY661039	1968-XX-XX	Smith,D.J., Lapedes,A.S., de Jong,J.C., Bestebroer,T.M., Rimmelzwaan,G.F., Osterhaus,A.D. and Fouchier,R.A.
A/Bilthoven/2271/1976	A/Bilthoven/2271/1976	AY661007	1976-XX-XX	Smith,D.J., Lapedes,A.S., de Jong,J.C., Bestebroer,T.M., Rimmelzwaan,G.F., Osterhaus,A.D. and Fouchier,R.A.
A/Bilthoven/5146/1974	A/Bilthoven/5146/1974	CY112329	1974-XX-XX	Wentworth,D.E., Dugan,V., Halpin,R., Lin,X., Bera,J., Ghedin,E., Fedorova,N., Overton,L., Tsitrin,T., Stockwell,T., Amedeo,P., Bishop,B., Chen,H., Edworthy,P., Gupta,N., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Ramanunninair,M., Silverman,J., Devis,R., Phan,L., Le,J., Pokorny,B.A., Onodera,S., Fulvini,A.A., He,Y., Kilbourne,E.D., Bucher,D., Bao,Y., Sanders,R., Dernovoy,D., Kiryutin,B., Lipman,D.J. and Tatusova,T.
A/Bilthoven/5168/1976	A/Bilthoven/5168/1976	CY116575	1976-XX-XX	Westgeest,K.B., de Graaf,M., Fourment,M., Bestebroer,T.M., van Beek,R., Spronken,M.I., de Jong,J.C., Rimmelzwaan,G.F., Russell,C.A., Osterhaus,A.D., Smith,G.J., Smith,D.J. and Fouchier,R.A.
A/Bilthoven/93/1970	A/Bilthoven/93/1970	CY112265	1970-XX-XX	Wentworth,D.E., Dugan,V., Halpin,R., Lin,X., Bera,J., Ghedin,E., Fedorova,N., Overton,L., Tsitrin,T., Stockwell,T., Amedeo,P., Bishop,B., Chen,H., Edworthy,P., Gupta,N., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Ramanunninair,M., Silverman,J., Devis,R., Phan,L., Le,J., Pokorny,B.A., Onodera,S., Fulvini,A.A., He,Y., Kilbourne,E.D., Bucher,D., Bao,Y., Sanders,R., Dernovoy,D., Kiryutin,B., Lipman,D.J. and Tatusova,T.
A/Brisbane/3/2005	A/Brisbane/3/2005	EF566225	2005-01-13	Komadina,N.
A/California/20/2005	A/California/20e/2005	EF473440	2005-11-30	Shaw,M.
A/Cheonnam/432/2002	A/Cheonnam/432/2002	AY589653	2002-XX-XX	Kim,K.A., Lee,J.Y., Hwang,J.H., Kim,Y.Y., Jang,S.W., Park,M.S., Park,Y.K. and Kang,C.
A/ChristChurch/2/1988	A/Christchurch/2/1988	AF008905	1988-XX-XX	Fitch,W.M., Bush,R.M., Bender,C.A. and Cox,N.J.
A/England/392/2008	A/England/392/2008	CY088444	2008-XX-XX	Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R. and Zambon,M.
A/England/394/2008	A/England/394/2008	CY088445	2008-XX-XX	Galiano,M., Johnson,B.F., Myers,R., Ellis,J., Daniels,R. and Zambon,M.
A/England/42/1972	A/England/42/1972	CY121157	1972-XX-XX	Wentworth,D.E., Dugan,V., Halpin,R., Lin,X., Bera,J., Ghedin,E., Fedorova,N., Overton,L., Tsitrin,T., Stockwell,T., Amedeo,P., Bishop,B., Chen,H., Edworthy,P., Gupta,N., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Ramanunninair,M., Silverman,J., Devis,R., Phan,L., Le,J., Pokorny,B.A., Onodera,S., Fulvini,A.A., He,Y., Kilbourne,E.D., Bucher,D., Bao,Y., Sanders,R., Dernovoy,D., Kiryutin,B., Lipman,D.J. and Tatusova,T.
A/Fujian/445/2003	A/Fujian/445/2003	CY121448	2003-XX-XX	Wentworth,D.E., Dugan,V., Halpin,R., Lin,X., Bera,J., Ghedin,E., Fedorova,N., Overton,L., Tsitrin,T., Stockwell,T., Amedeo,P., Bishop,B., Chen,H., Edworthy,P., Gupta,N., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Ramanunninair,M., Silverman,J., Devis,R., Phan,L., Le,J., Pokorny,B.A., Onodera,S., Fulvini,A.A., He,Y., Kilbourne,E.D., Bucher,D., Bao,Y., Sanders,R., Dernovoy,D., Kiryutin,B., Lipman,D.J. and Tatusova,T.
A/Geneva/AI9509/1995	A/Geneva/AI9509/95	AY661182	1995-XX-XX	Smith,D.J., Lapedes,A.S., de Jong,J.C., Bestebroer,T.M.,Osterhaus,A.D.M.E. and Fouchier,R.A.M.
A/HongKong/1/1968	A/HongKong/1/1968	AF348179	XXXX-XX-XX	Brown,E.G., Liu,H., Kit,L.C., Baird,S. and Nesrallah,M.
A/HongKong/1550/2002	A/HongKong/1550/2002	EU514627	2002-01-19	Russell,C.A., Jones,T.C., Barr,I.G., Cox,N.J., Garten,R.J., Gregory,V., Gust,I.D., Hampson,A.W., Hay,A.J., Hurt,A.C., de Jong,J.C., Kelso,A., Klimov,A.I., Kageyama,T., Komadina,N., Lapedes,A.S., Lin,Y.P., Mosterin,A., Obuchi,M., Odagiri,T., Osterhaus,A.D., Rimmelzwaan,G.F., Shaw,M.W., Skepner,E., Stohr,K., Tashiro,M., Fouchier,R.A. and Smith,D.J.
A/HongKong/26560/2009	A/HongKong/26560/2009	CY121736	2009-XX-XX	Wentworth,D.E., Dugan,V., Halpin,R., Lin,X., Bera,J., Ghedin,E., Fedorova,N., Overton,L., Tsitrin,T., Stockwell,T., Amedeo,P., Bishop,B., Chen,H., Edworthy,P., Gupta,N., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Ramanunninair,M., Silverman,J., Devis,R., Phan,L., Le,J., Pokorny,B.A., Onodera,S., Fulvini,A.A., He,Y., Kilbourne,E.D., Bucher,D., Bao,Y., Sanders,R., Dernovoy,D., Kiryutin,B., Lipman,D.J. and Tatusova,T.
A/HongKong/280/1997	A/HongKong/280/1997	CY112845	1997-06-20	Wentworth,D.E., Dugan,V., Halpin,R., Lin,X., Bera,J., Ghedin,E., Fedorova,N., Overton,L., Tsitrin,T., Stockwell,T., Amedeo,P., Bishop,B., Chen,H., Edworthy,P., Gupta,N., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Ramanunninair,M., Silverman,J., Devis,R., Phan,L., Le,J., Pokorny,B.A., Onodera,S., Fulvini,A.A., He,Y., Kilbourne,E.D., Bucher,D., Bao,Y., Sanders,R., Dernovoy,D., Kiryutin,B., Lipman,D.J. and Tatusova,T.
A/HongKong/32/1995	A/HongKong/32/1995	CY112765	1995-03-01	Wentworth,D.E., Dugan,V., Halpin,R., Lin,X., Bera,J., Ghedin,E., Fedorova,N., Overton,L., Tsitrin,T., Stockwell,T., Amedeo,P., Bishop,B., Chen,H., Edworthy,P., Gupta,N., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Ramanunninair,M., Silverman,J., Devis,R., Phan,L., Le,J., Pokorny,B.A., Onodera,S., Fulvini,A.A., He,Y., Kilbourne,E.D., Bucher,D., Bao,Y., Sanders,R., Dernovoy,D., Kiryutin,B., Lipman,D.J. and Tatusova,T.
A/HongKong/38/1995	A/HongKong/38/1995	CY112773	1995-08-01	Wentworth,D.E., Dugan,V., Halpin,R., Lin,X., Bera,J., Ghedin,E., Fedorova,N., Overton,L., Tsitrin,T., Stockwell,T., Amedeo,P., Bishop,B., Chen,H., Edworthy,P., Gupta,N., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Ramanunninair,M., Silverman,J., Devis,R., Phan,L., Le,J., Pokorny,B.A., Onodera,S., Fulvini,A.A., He,Y., Kilbourne,E.D., Bucher,D., Bao,Y., Sanders,R., Dernovoy,D., Kiryutin,B., Lipman,D.J. and Tatusova,T.
A/HongKong/55/1994	A/HongKong/55/1994	CY112725	1994-07-26	Wentworth,D.E., Dugan,V., Halpin,R., Lin,X., Bera,J., Ghedin,E., Fedorova,N., Overton,L., Tsitrin,T., Stockwell,T., Amedeo,P., Bishop,B., Chen,H., Edworthy,P., Gupta,N., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Ramanunninair,M., Silverman,J., Devis,R., Phan,L., Le,J., Pokorny,B.A., Onodera,S., Fulvini,A.A., He,Y., Kilbourne,E.D., Bucher,D., Bao,Y., Sanders,R., Dernovoy,D., Kiryutin,B., Lipman,D.J. and Tatusova,T.
A/Johannesburg/33/1994	A/Johannesburg/33/1994	CY112733	1994-XX-XX	Wentworth,D.E., Dugan,V., Halpin,R., Lin,X., Bera,J., Ghedin,E., Fedorova,N., Overton,L., Tsitrin,T., Stockwell,T., Amedeo,P., Bishop,B., Chen,H., Edworthy,P., Gupta,N., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Ramanunninair,M., Silverman,J., Devis,R., Phan,L., Le,J., Pokorny,B.A., Onodera,S., Fulvini,A.A., He,Y., Kilbourne,E.D., Bucher,D., Bao,Y., Sanders,R., Dernovoy,D., Kiryutin,B., Lipman,D.J. and Tatusova,T.
A/Johannesburg/47/1994	A/Johannesburg/47/1994	CY112741	1994-XX-XX	Wentworth,D.E., Dugan,V., Halpin,R., Lin,X., Bera,J., Ghedin,E., Fedorova,N., Overton,L., Tsitrin,T., Stockwell,T., Amedeo,P., Bishop,B., Chen,H., Edworthy,P., Gupta,N., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Ramanunninair,M., Silverman,J., Devis,R., Phan,L., Le,J., Pokorny,B.A., Onodera,S., Fulvini,A.A., He,Y., Kilbourne,E.D., Bucher,D., Bao,Y., Sanders,R., Dernovoy,D., Kiryutin,B., Lipman,D.J. and Tatusova,T.
A/Leningrad/360/1986	A/Leningrad/360/1986	CY121277	1986-XX-XX	Wentworth,D.E., Dugan,V., Halpin,R., Lin,X., Bera,J., Ghedin,E., Fedorova,N., Overton,L., Tsitrin,T., Stockwell,T., Amedeo,P., Bishop,B., Chen,H., Edworthy,P., Gupta,N., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Ramanunninair,M., Silverman,J., Devis,R., Phan,L., Le,J., Pokorny,B.A., Onodera,S., Fulvini,A.A., He,Y., Kilbourne,E.D., Bucher,D., Bao,Y., Sanders,R., Dernovoy,D., Kiryutin,B., Lipman,D.J. and Tatusova,T.
A/Louisiana/4/2003	A/Louisiana/4/2003	EF473536	2003-XX-XX	Shaw,M.
A/Lyon/108/2005	A/Lyon/108/2005	EF566232	2005-01-12	Komadina,N.
A/Madrid/G130/1993	A/Madrid/G130/1993	CY112573	1993-XX-XX	Wentworth,D.E., Dugan,V., Halpin,R., Lin,X., Bera,J., Ghedin,E., Fedorova,N., Overton,L., Tsitrin,T., Stockwell,T., Amedeo,P., Bishop,B., Chen,H., Edworthy,P., Gupta,N., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Ramanunninair,M., Silverman,J., Devis,R., Phan,L., Le,J., Pokorny,B.A., Onodera,S., Fulvini,A.A., He,Y., Kilbourne,E.D., Bucher,D., Bao,Y., Sanders,R., Dernovoy,D., Kiryutin,B., Lipman,D.J. and Tatusova,T.
A/Nepal/921/2006	A/Nepal/921/2006	CY121512	2006-XX-XX	Wentworth,D.E., Dugan,V., Halpin,R., Lin,X., Bera,J., Ghedin,E., Fedorova,N., Overton,L., Tsitrin,T., Stockwell,T., Amedeo,P., Bishop,B., Chen,H., Edworthy,P., Gupta,N., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Ramanunninair,M., Silverman,J., Devis,R., Phan,L., Le,J., Pokorny,B.A., Onodera,S., Fulvini,A.A., He,Y., Kilbourne,E.D., Bucher,D., Bao,Y., Sanders,R., Dernovoy,D., Kiryutin,B., Lipman,D.J. and Tatusova,T.
A/Netherlands/115/1993	A/Netherlands/115/1993	CY112597	1993-02-18	Wentworth,D.E., Dugan,V., Halpin,R., Lin,X., Bera,J., Ghedin,E., Fedorova,N., Overton,L., Tsitrin,T., Stockwell,T., Amedeo,P., Bishop,B., Chen,H., Edworthy,P., Gupta,N., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Ramanunninair,M., Silverman,J., Devis,R., Phan,L., Le,J., Pokorny,B.A., Onodera,S., Fulvini,A.A., He,Y., Kilbourne,E.D., Bucher,D., Bao,Y., Sanders,R., Dernovoy,D., Kiryutin,B., Lipman,D.J. and Tatusova,T.
A/Netherlands/371/1993	A/Netherlands/371/1993	CY112621	1993-12-02	Wentworth,D.E., Dugan,V., Halpin,R., Lin,X., Bera,J., Ghedin,E., Fedorova,N., Overton,L., Tsitrin,T., Stockwell,T., Amedeo,P., Bishop,B., Chen,H., Edworthy,P., Gupta,N., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Ramanunninair,M., Silverman,J., Devis,R., Phan,L., Le,J., Pokorny,B.A., Onodera,S., Fulvini,A.A., He,Y., Kilbourne,E.D., Bucher,D., Bao,Y., Sanders,R., Dernovoy,D., Kiryutin,B., Lipman,D.J. and Tatusova,T.
A/Netherlands/414/1998	A/Netherlands/414/1998	CY112893	1998-05-12	Wentworth,D.E., Dugan,V., Halpin,R., Lin,X., Bera,J., Ghedin,E., Fedorova,N., Overton,L., Tsitrin,T., Stockwell,T., Amedeo,P., Bishop,B., Chen,H., Edworthy,P., Gupta,N., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Ramanunninair,M., Silverman,J., Devis,R., Phan,L., Le,J., Pokorny,B.A., Onodera,S., Fulvini,A.A., He,Y., Kilbourne,E.D., Bucher,D., Bao,Y., Sanders,R., Dernovoy,D., Kiryutin,B., Lipman,D.J. and Tatusova,T.
A/NewCaledonia/6/2002	A/NewCaledonia/6/2002	EU501162	2002-04-04	Russell,C.A., Jones,T.C., Barr,I.G., Cox,N.J., Garten,R.J., Gregory,V., Gust,I.D., Hampson,A.W., Hay,A.J., Hurt,A.C., de Jong,J.C., Kelso,A., Klimov,A.I., Kageyama,T., Komadina,N., Lapedes,A.S., Lin,Y.P., Mosterin,A., Obuchi,M., Odagiri,T., Osterhaus,A.D., Rimmelzwaan,G.F., Shaw,M.W., Skepner,E., Stohr,K., Tashiro,M., Fouchier,R.A. and Smith,D.J.
A/Oslo/2352/1993	A/Oslo/2352/1993	CY112877	1993-11-13	Wentworth,D.E., Dugan,V., Halpin,R., Lin,X., Bera,J., Ghedin,E., Fedorova,N., Overton,L., Tsitrin,T., Stockwell,T., Amedeo,P., Bishop,B., Chen,H., Edworthy,P., Gupta,N., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Ramanunninair,M., Silverman,J., Devis,R., Phan,L., Le,J., Pokorny,B.A., Onodera,S., Fulvini,A.A., He,Y., Kilbourne,E.D., Bucher,D., Bao,Y., Sanders,R., Dernovoy,D., Kiryutin,B., Lipman,D.J. and Tatusova,T.
A/Oslo/244/1997	A/Oslo/244/1997	CY112645	1997-XX-XX	Wentworth,D.E., Dugan,V., Halpin,R., Lin,X., Bera,J., Ghedin,E., Fedorova,N., Overton,L., Tsitrin,T., Stockwell,T., Amedeo,P., Bishop,B., Chen,H., Edworthy,P., Gupta,N., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Ramanunninair,M., Silverman,J., Devis,R., Phan,L., Le,J., Pokorny,B.A., Onodera,S., Fulvini,A.A., He,Y., Kilbourne,E.D., Bucher,D., Bao,Y., Sanders,R., Dernovoy,D., Kiryutin,B., Lipman,D.J. and Tatusova,T.
A/Philippines/1159050/2002	A/Philippines/PH-1159050/2002	EU514667	2002-11-21	Russell,C.A., Jones,T.C., Barr,I.G., Cox,N.J., Garten,R.J., Gregory,V., Gust,I.D., Hampson,A.W., Hay,A.J., Hurt,A.C., de Jong,J.C., Kelso,A., Klimov,A.I., Kageyama,T., Komadina,N., Lapedes,A.S., Lin,Y.P., Mosterin,A., Obuchi,M., Odagiri,T., Osterhaus,A.D., Rimmelzwaan,G.F., Shaw,M.W., Skepner,E., Stohr,K., Tashiro,M., Fouchier,R.A. and Smith,D.J.
A/RhodeIsland/1/2010	A/RhodeIsland/01/2010	CY121800	2010-XX-XX	Wentworth,D.E., Dugan,V., Halpin,R., Lin,X., Bera,J., Ghedin,E., Fedorova,N., Overton,L., Tsitrin,T., Stockwell,T., Amedeo,P., Bishop,B., Chen,H., Edworthy,P., Gupta,N., Katzel,D., Li,K., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Ramanunninair,M., Silverman,J., Devis,R., Phan,L., Le,J., Pokorny,B.A., Onodera,S., Fulvini,A.A., He,Y., Kilbourne,E.D., Bucher,D., Bao,Y., Sanders,R., Dernovoy,D., Kiryutin,B., Lipman,D.J. and Tatusova,T.
A/Singapore/35/2005	A/SINGAPORE/35/2005	EU501773	2005-05-31	Russell,C.A., Jones,T.C., Barr,I.G., Cox,N.J., Garten,R.J., Gregory,V., Gust,I.D., Hampson,A.W., Hay,A.J., Hurt,A.C., de Jong,J.C., Kelso,A., Klimov,A.I., Kageyama,T., Komadina,N., Lapedes,A.S., Lin,Y.P., Mosterin,A., Obuchi,M., Odagiri,T., Osterhaus,A.D., Rimmelzwaan,G.F., Shaw,M.W., Skepner,E., Stohr,K., Tashiro,M., Fouchier,R.A. and Smith,D.J.
A/Singapore/38/2005	A/SINGAPORE/38/2005	EU501774	2005-06-07	Russell,C.A., Jones,T.C., Barr,I.G., Cox,N.J., Garten,R.J., Gregory,V., Gust,I.D., Hampson,A.W., Hay,A.J., Hurt,A.C., de Jong,J.C., Kelso,A., Klimov,A.I., Kageyama,T., Komadina,N., Lapedes,A.S., Lin,Y.P., Mosterin,A., Obuchi,M., Odagiri,T., Osterhaus,A.D., Rimmelzwaan,G.F., Shaw,M.W., Skepner,E., Stohr,K., Tashiro,M., Fouchier,R.A. and Smith,D.J.
A/Singapore/57/2006	A/SINGAPORE/57/2006	EU502049	2006-07-06	Russell,C.A., Jones,T.C., Barr,I.G., Cox,N.J., Garten,R.J., Gregory,V., Gust,I.D., Hampson,A.W., Hay,A.J., Hurt,A.C., de Jong,J.C., Kelso,A., Klimov,A.I., Kageyama,T., Komadina,N., Lapedes,A.S., Lin,Y.P., Mosterin,A., Obuchi,M., Odagiri,T., Osterhaus,A.D., Rimmelzwaan,G.F., Shaw,M.W., Skepner,E., Stohr,K., Tashiro,M., Fouchier,R.A. and Smith,D.J.
A/Singapore/95/2003	A/SINGAPORE/95/2003	EU501320	2003-11-02	Russell,C.A., Jones,T.C., Barr,I.G., Cox,N.J., Garten,R.J., Gregory,V., Gust,I.D., Hampson,A.W., Hay,A.J., Hurt,A.C., de Jong,J.C., Kelso,A., Klimov,A.I., Kageyama,T., Komadina,N., Lapedes,A.S., Lin,Y.P., Mosterin,A., Obuchi,M., Odagiri,T., Osterhaus,A.D., Rimmelzwaan,G.F., Shaw,M.W., Skepner,E., Stohr,K., Tashiro,M., Fouchier,R.A. and Smith,D.J.
A/Sofia/141/2003	A/SOFIA/141/2003	EU501322	2003-02-01	Russell,C.A., Jones,T.C., Barr,I.G., Cox,N.J., Garten,R.J., Gregory,V., Gust,I.D., Hampson,A.W., Hay,A.J., Hurt,A.C., de Jong,J.C., Kelso,A., Klimov,A.I., Kageyama,T., Komadina,N., Lapedes,A.S., Lin,Y.P., Mosterin,A., Obuchi,M., Odagiri,T., Osterhaus,A.D., Rimmelzwaan,G.F., Shaw,M.W., Skepner,E., Stohr,K., Tashiro,M., Fouchier,R.A. and Smith,D.J.
